Stage1,Stage2,Stage_Transition,Productivity,Productivity_SD,Capacity,Capacity_SD,Transition,Transition_SD,Natural_Prod_Scaler,Hatchery_Prod_Scaler,Natural_Cap_Scaler,Hatchery_Cap_Scaler
Egg,Fry,Egg_Fry,1,0,1.00E+20,0,1,0,1,1,1,1
Fry,Parr,Fry_Parr,0.15,0.081,165687,22359,1,0,1,1,1,1
Parr,PreSmoltHeadwaters,Parr_PreSmoltHeadwaters,1,0,1.00E+20,0,0.23,0,1,1,1,1
Parr,PreSmoltValley,Parr_PreSmoltValley,1,0,1.00E+20,0,0.77,0,1,1,1,1
PreSmoltHeadwaters,LGDSmolt,PreSmoltHeadwaters_LGDSmolt,0.11,0.06,1.00E+20,0,1,0,1,1,1,1
PreSmoltValley,LGDSmolt,PreSmoltValley_LGDSmolt,0.13,0.06,1.00E+20,0,1,0,1,1,1,1
HatchRelease,LGDSmolt,HatchRelease_LGDSmolt,0.68,0.14,1.00E+20,0,1,0,1,0.8,1,1
LGDSmolt,LGDAdult1,LGDSmolt_LGDAdult1,0.035,0.023,1.00E+20,0,0.069,0,1.3,1,1,1
LGDSmolt,OceanAdult1,LGDSmolt_OceanAdult1,0.035,0.023,1.00E+20,0,0.931,0,1.3,1,1,1
OceanAdult1,LGDAdult2,OceanAdult1_LGDAdult2,0.24,0.045,1.00E+20,0,0.93,0,1.3,1,1,1
OceanAdult1,OceanAdult2,OceanAdult1_OceanAdult2,0.24,0.045,1.00E+20,0,0.07,0,1.3,1,1,1
OceanAdult2,LGDAdult3,OceanAdult2_LGDAdult3,0.55,0.023,1.00E+20,0,1,0,1.3,1,1,1
LGDAdult,TrapAdult,LGDAdult_TrapAdult,0.9,0.1,1.00E+20,0,1,0,1,0.75,1,1
PassedAdult,Spawner,PassedAdult_Spawner,0.97,0.03,1.00E+20,0,1,0,1,0.9,1,1
TotalSpawner,Egg,TotalSpawner_Egg,3831,0,49138898.2,921,1,0,1,1,1,1